product_id,product,category,sub_category,brand,expiry_date
1,Garlic Oil - Vegetarian Capsule 500 mg,Beauty & Hygiene,Hair Care,Sri Sri Ayurveda ,29-05-2025
2,Water Bottle - Orange,"Kitchen, Garden & Pets",Storage & Accessories,Mastercook,04-12-2025
3,"Brass Angle Deep - Plain, No.2",Cleaning & Household,Pooja Needs,Trm,02-05-2025
4,Cereal Flip Lid Container/Storage Jar - Assorted Colour,Cleaning & Household,Bins & Bathroom Ware,Nakoda,19-04-2025
5,Creme Soft Soap - For Hands & Body,Beauty & Hygiene,Bath & Hand Wash,Nivea,30-11-2025
6,Germ - Removal Multipurpose Wipes,Cleaning & Household,All Purpose Cleaners,Nature Protect,09-09-2025
7,Multani Mati,Beauty & Hygiene,Skin Care,Satinance,10-12-2025
8,Hand Sanitizer - 70% Alcohol Base,Beauty & Hygiene,Bath & Hand Wash,Bionova,08-04-2025
9,Biotin & Collagen Volumizing Hair Shampoo + Biotin & Collagen Hair Conditioner,Beauty & Hygiene,Hair Care,StBotanica,23-05-2025
10,"Scrub Pad - Anti- Bacterial, Regular",Cleaning & Household,"Mops, Brushes & Scrubs",Scotch brite,12-11-2025
11,Wheat Grass Powder - Raw,Gourmet & World Food,Cooking & Baking Needs,NUTRASHIL,22-04-2025
12,Butter Cookies Gold Collection,Gourmet & World Food,Chocolates & Biscuits,Sapphire,07-06-2025
13,"Face Wash - Oil Control, Active",Beauty & Hygiene,Skin Care,Oxy,16-06-2025
14,Mold & Mildew Remover with Bleach,Cleaning & Household,All Purpose Cleaners,Clorox,24-02-2025
15,Just Spray - Mosquito Repellent Room Spray,Cleaning & Household,Fresheners & Repellents,Herbal Strategi,16-12-2025
16,Dove Plastic Soap Case - Assorted Colour,Cleaning & Household,Bins & Bathroom Ware,Nakoda,19-07-2025
17,Smooth Skin Oil - For Dry Skin,Beauty & Hygiene,Skin Care,Aroma Treasures,10-04-2025
18,Salted Pumpkin,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Graminway,21-07-2025
19,Flax Seeds - Roasted,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",True Elements,06-06-2025
20,Organic Tofu - Soy Paneer,Gourmet & World Food,Dairy & Cheese,Murginns,19-12-2025
21,Ceramic Barrel Brush - Colour May Vary,Beauty & Hygiene,Hair Care,Bronson Professional,07-01-2025
22,Instant Noodles - Chicken Satay Flavor,Gourmet & World Food,"Pasta, Soup & Noodles",Koka,09-09-2025
23,Chia Seeds,"Foodgrains, Oil & Masala",Dry Fruits,NaturoBell,13-05-2025
24,Cleanse Green Tea - Whole Leaf Loose Tea,Gourmet & World Food,Drinks & Beverages,Cambridge Tea Party,21-06-2025
25,Veggie Cutter,"Kitchen, Garden & Pets",Kitchen Accessories,IRICH,18-05-2025
